Date,Open,High,Low,Close,Adj Close,Volume
2021-08-12,75.669998,75.925003,74.714996,75.870003,75.870003,757800
2021-08-13,76.400002,76.400002,74.550003,75.080002,75.080002,663000
2021-08-16,76.089996,76.089996,74.300003,75.639999,75.639999,873000
2021-08-17,74.949997,75.080002,72.279999,73.040001,73.040001,1139800
2021-08-18,73.459999,73.459999,71.275002,71.540001,71.540001,1634400
2021-08-19,70.879997,71.120003,68.349998,68.989998,68.989998,1890200
2021-08-20,68.980003,70.169998,67.889999,70.129997,70.129997,1134100
2021-08-23,70.680000,73.750000,70.680000,73.709999,73.709999,984400
2021-08-24,75.330002,78.000000,75.320000,77.510002,77.510002,1389400
2021-08-25,77.809998,80.029999,76.930000,79.360001,79.360001,1417600
2021-08-26,79.059998,80.110001,78.820000,80.000000,80.000000,1120000
2021-08-27,80.269997,82.195000,79.839996,82.129997,82.129997,1175700
2021-08-30,82.389999,82.769997,81.230003,81.570000,81.570000,1349400
2021-08-31,81.330002,81.779999,79.790001,81.300003,81.300003,813500
2021-09-01,81.599998,81.870003,79.779999,79.839996,79.839996,758600
2021-09-02,79.769997,80.059998,78.400002,78.500000,78.500000,810600
2021-09-03,78.000000,78.160004,76.150002,76.480003,76.480003,769400
2021-09-07,76.489998,78.190002,75.989998,77.620003,77.620003,861400
2021-09-08,77.959999,78.129997,76.620003,77.000000,77.000000,609800
2021-09-09,76.830002,78.882004,76.559998,78.690002,78.690002,798200
2021-09-10,78.989998,79.269997,77.269997,77.330002,77.330002,473700
2021-09-13,77.800003,78.940002,76.860001,78.220001,78.220001,799800
2021-09-14,78.470001,79.474998,77.360001,78.849998,78.849998,486200
2021-09-15,78.610001,78.610001,77.029999,78.339996,78.339996,704600
2021-09-16,78.279999,79.099998,77.660004,78.769997,78.769997,578300
2021-09-17,79.080002,79.720001,77.955002,78.410004,78.410004,1008800
2021-09-20,76.900002,78.349998,75.940002,77.290001,77.290001,658200
2021-09-21,78.260002,78.915001,76.175003,76.279999,76.279999,881900
2021-09-22,76.449997,79.610001,76.330002,78.610001,78.610001,775500
2021-09-23,79.000000,80.779999,78.970001,79.470001,79.470001,960600
2021-09-24,79.239998,81.720001,78.559998,81.480003,81.480003,523400
2021-09-27,81.599998,82.430000,80.209999,80.489998,80.489998,559600
2021-09-28,80.169998,80.980003,79.540001,79.750000,79.750000,639600
2021-09-29,80.230003,80.690002,78.110001,78.570000,78.570000,614000
2021-09-30,78.430000,79.220001,78.000000,78.550003,78.550003,671900
2021-10-01,80.080002,84.269997,79.529999,83.089996,83.089996,1429500
